Tempo;Gesto
15:52:40.249;FECHADA
15:52:40.280;FECHADA
15:52:40.312;FECHADA
15:52:40.344;FECHADA
15:52:40.377;FECHADA
15:52:40.409;FECHADA
15:52:40.442;FECHADA
15:52:40.474;FECHADA
15:52:40.506;FECHADA
15:52:40.539;FECHADA
15:52:40.571;FECHADA
15:52:40.603;FECHADA
15:52:40.635;FECHADA
15:52:40.667;FECHADA
15:52:40.699;FECHADA
15:52:40.732;FECHADA
15:52:40.764;FECHADA
15:52:40.797;FECHADA
15:52:40.828;FECHADA
15:52:40.865;FECHADA
15:52:40.897;FECHADA
15:52:40.929;FECHADA
15:52:40.961;FECHADA
15:52:40.993;FECHADA
15:52:41.025;FECHADA
15:52:41.058;FECHADA
15:52:41.089;FECHADA
15:52:41.124;FECHADA
15:52:41.157;FECHADA
15:52:41.189;FECHADA
15:52:41.222;FECHADA
15:52:41.254;FECHADA
15:52:41.286;FECHADA
15:52:41.319;FECHADA
15:52:41.353;FECHADA
15:52:41.385;FECHADA
15:52:41.419;FECHADA
15:52:41.451;ABERTA
15:52:41.485;ABERTA
15:52:41.517;ABERTA
15:52:41.550;ABERTA
15:52:41.583;ABERTA
15:52:41.616;ABERTA
15:52:41.648;ABERTA
15:52:41.684;ABERTA
15:52:41.717;ABERTA
15:52:41.749;ABERTA
15:52:41.782;ABERTA
15:52:41.814;ABERTA
15:52:41.847;ABERTA
15:52:41.879;ABERTA
15:52:41.911;ABERTA
15:52:41.944;ABERTA
15:52:41.975;ABERTA
15:52:42.007;ABERTA
15:52:42.040;ABERTA
15:52:42.072;ABERTA
15:52:42.104;ABERTA
15:52:42.139;ABERTA
15:52:42.171;ABERTA
15:52:42.203;ABERTA
15:52:42.235;ABERTA
15:52:42.266;ABERTA
15:52:42.298;ABERTA
15:52:42.331;ABERTA
15:52:42.363;FECHADA
15:52:42.396;ABERTA
15:52:42.429;ABERTA
15:52:42.461;ABERTA
15:52:42.492;ABERTA
15:52:42.525;ABERTA
15:52:42.558;FECHADA
15:52:42.591;ABERTA
15:52:42.623;ABERTA
15:52:42.656;ABERTA
15:52:42.689;ABERTA
15:52:42.723;ABERTA
15:52:42.755;ABERTA
15:52:42.788;ABERTA
15:52:42.820;ABERTA
15:52:42.853;ABERTA
15:52:42.885;ABERTA
15:52:42.918;ABERTA
15:52:42.950;ABERTA
15:52:42.982;ABERTA
15:52:43.015;ABERTA
15:52:43.048;ABERTA
15:52:43.080;ABERTA
15:52:43.113;ABERTA
15:52:43.144;ABERTA
15:52:43.176;ABERTA
15:52:43.208;ABERTA
15:52:43.240;ABERTA
15:52:43.273;ABERTA
15:52:43.306;ABERTA
15:52:43.339;FECHADA
15:52:43.371;ABERTA
15:52:43.404;FECHADA
15:52:43.437;ABERTA
15:52:43.469;FECHADA
15:52:43.504;FECHADA
15:52:43.536;ABERTA
15:52:43.570;FECHADA
15:52:43.604;ABERTA
15:52:43.638;ABERTA
15:52:43.670;ABERTA
15:52:43.703;FECHADA
15:52:43.735;FECHADA
15:52:43.767;FECHADA
15:52:43.801;FECHADA
15:52:43.833;FECHADA
15:52:43.866;FECHADA
15:52:43.899;FECHADA
15:52:43.931;FECHADA
15:52:43.971;FECHADA
15:52:44.003;FECHADA
15:52:44.034;FECHADA
15:52:44.069;FECHADA
15:52:44.103;FECHADA
15:52:44.135;FECHADA
15:52:44.167;FECHADA
15:52:44.199;FECHADA
15:52:44.231;FECHADA
15:52:44.265;FECHADA
15:52:44.300;FECHADA
15:52:44.375;FECHADA
15:52:44.407;FECHADA
15:52:46.425;ABERTA
15:52:46.457;FECHADA
15:52:46.489;ABERTA
15:52:46.521;FECHADA
15:52:46.553;FECHADA
15:52:46.585;FECHADA
15:52:46.620;ABERTA
15:52:46.652;ABERTA
15:52:46.684;ABERTA
15:52:46.718;ABERTA
15:52:46.751;ABERTA
15:52:46.783;ABERTA
15:52:46.816;ABERTA
15:52:46.848;FECHADA
15:52:46.881;FECHADA
15:52:46.913;FECHADA
15:52:46.946;FECHADA
