Tempo;X_Bruto;X_Suavizado
16:09:25.770;174,00;171,67
16:09:25.820;172,00;171,72
16:09:25.871;167,00;171,01
16:09:25.921;167,00;170,41
16:09:25.972;168,00;170,05
16:09:26.022;172,00;170,34
16:09:26.074;171,00;170,44
16:09:26.124;169,00;170,22
16:09:26.174;167,00;169,74
16:09:26.224;167,00;169,33
16:09:26.274;168,00;169,13
16:09:26.325;169,00;169,11
16:09:26.375;171,00;169,39
16:09:26.425;172,00;169,78
16:09:26.475;174,00;170,42
16:09:26.525;175,00;171,10
16:09:26.576;175,00;171,69
16:09:26.626;175,00;172,19
16:09:26.676;175,00;172,61
16:09:26.726;174,00;172,82
16:09:26.777;175,00;173,14
16:09:26.827;176,00;173,57
16:09:26.877;177,00;174,09
16:09:26.927;178,00;174,67
16:09:26.977;178,00;175,17
16:09:27.028;179,00;175,75
16:09:27.078;179,00;176,23
16:09:27.128;179,00;176,65
16:09:27.178;180,00;177,15
16:09:27.228;180,00;177,58
16:09:27.279;181,00;178,09
16:09:27.329;183,00;178,83
16:09:27.379;183,00;179,45
16:09:27.430;184,00;180,14
16:09:27.480;184,00;180,72
16:09:27.530;185,00;181,36
16:09:27.580;185,00;181,90
16:09:27.630;186,00;182,52
16:09:27.680;190,00;183,64
16:09:27.731;198,00;185,79
16:09:27.781;200,00;187,93
16:09:27.831;205,00;190,49
16:09:27.881;205,00;192,66
16:09:27.931;208,00;194,96
16:09:27.982;209,00;197,07
16:09:28.032;210,00;199,01
16:09:28.082;210,00;200,66
16:09:28.132;208,00;201,76
16:09:28.182;207,00;202,55
16:09:28.232;205,00;202,91
16:09:28.283;205,00;203,23
16:09:28.333;205,00;203,49
16:09:28.383;205,00;203,72
16:09:28.433;205,00;203,91
16:09:28.483;205,00;204,07
16:09:28.533;206,00;204,36
16:09:28.584;206,00;204,61
16:09:28.634;206,00;204,82
16:09:28.684;201,00;204,24
16:09:28.734;198,00;203,31
16:09:28.784;196,00;202,21
16:09:28.835;196,00;201,28
16:09:28.885;197,00;200,64
16:09:28.935;198,00;200,24
16:09:28.985;199,00;200,06
16:09:29.035;199,00;199,90
16:09:29.085;200,00;199,91
16:09:29.136;200,00;199,93
16:09:29.186;201,00;200,09
16:09:29.236;202,00;200,37
16:09:29.286;202,00;200,62
16:09:29.336;202,00;200,83
16:09:29.387;202,00;201,00
16:09:29.437;202,00;201,15
16:09:29.487;200,00;200,98
16:09:29.537;197,00;200,38
16:09:29.587;194,00;199,42
16:09:29.637;208,00;200,71
16:09:29.688;217,00;203,15
16:09:29.738;234,00;207,78
16:09:29.788;196,00;206,01
16:09:29.838;172,00;200,91
16:09:29.888;183,00;198,23
16:09:29.939;211,00;200,14
16:09:29.989;203,00;200,57
16:09:30.039;184,00;198,08
16:09:30.089;172,00;194,17
16:09:30.139;209,00;196,40
16:09:30.189;204,00;197,54
16:09:30.240;181,00;195,06
16:09:30.290;164,00;190,40
16:09:30.340;196,00;191,24
16:09:30.390;212,00;194,35
16:09:30.440;201,00;195,35
16:09:30.491;197,00;195,60
16:09:30.541;197,00;195,81
16:09:30.591;196,00;195,84
16:09:30.641;196,00;195,86
16:09:30.691;199,00;196,33
16:09:30.742;199,00;196,73
16:09:30.792;201,00;197,37
16:09:30.842;203,00;198,22
16:09:30.892;206,00;199,38
16:09:30.942;208,00;200,68
16:09:30.992;210,00;202,07
16:09:31.043;211,00;203,41
16:09:31.093;212,00;204,70
16:09:31.143;213,00;205,95
16:09:31.193;216,00;207,45
16:09:31.243;222,00;209,64
16:09:31.293;226,00;212,09
16:09:31.344;237,00;215,83
16:09:31.394;253,00;221,40
16:09:31.444;256,00;226,59
16:09:31.494;256,00;231,00
16:09:31.544;256,00;234,75
16:09:31.595;256,00;237,94
16:09:31.645;256,00;240,65
16:09:31.695;256,00;242,95
16:09:31.745;256,00;244,91
16:09:31.795;256,00;246,57
16:09:31.846;256,00;247,99
16:09:31.896;256,00;249,19
16:09:31.946;256,00;250,21
16:09:31.996;256,00;251,08
16:09:32.046;256,00;251,82
16:09:32.096;256,00;252,44
16:09:32.147;558,00;298,28
16:09:32.197;558,00;337,24
16:09:32.247;558,00;370,35
16:09:32.297;558,00;398,50
16:09:32.347;558,00;422,42
16:09:32.397;601,00;449,21
16:09:32.448;601,00;471,98
16:09:32.498;601,00;491,33
16:09:32.548;601,00;507,78
16:09:32.598;601,00;521,76
16:09:32.648;601,00;533,65
16:09:32.698;601,00;543,75
16:09:32.749;601,00;552,34
16:09:32.799;601,00;559,64
16:09:32.849;601,00;565,84
16:09:32.899;601,00;571,12
16:09:32.950;601,00;575,60
16:09:33.000;601,00;579,41
16:09:33.050;601,00;582,65
16:09:33.101;601,00;585,40
16:09:33.151;601,00;587,74
16:09:33.201;601,00;589,73
16:09:33.252;601,00;591,42
16:09:33.302;601,00;592,86
16:09:33.352;601,00;594,08
16:09:33.402;601,00;595,12
16:09:33.453;601,00;596,00
16:09:33.503;601,00;596,75
16:09:33.553;601,00;597,39
16:09:33.604;601,00;597,93
16:09:33.654;601,00;598,39
16:09:33.704;601,00;598,78
16:09:33.754;601,00;599,11
16:09:33.805;601,00;599,40
16:09:33.855;601,00;599,64
16:09:33.905;601,00;599,84
16:09:33.955;601,00;600,02
16:09:34.006;601,00;600,16
16:09:34.056;601,00;600,29
16:09:34.106;601,00;600,40
16:09:34.157;601,00;600,49
16:09:34.207;601,00;600,56
16:09:34.257;601,00;600,63
16:09:34.307;601,00;600,68
16:09:34.358;601,00;600,73
16:09:34.408;601,00;600,77
16:09:34.458;601,00;600,81
16:09:34.508;601,00;600,84
16:09:34.559;601,00;600,86
16:09:34.609;601,00;600,88
16:09:34.659;601,00;600,90
16:09:34.709;601,00;600,91
16:09:34.760;601,00;600,93
16:09:34.810;295,00;555,04
16:09:34.860;278,00;513,48
16:09:34.910;278,00;478,16
16:09:34.960;255,00;444,69
16:09:35.010;235,00;413,23
16:09:35.061;221,00;384,40
16:09:35.111;207,00;357,79
16:09:35.161;197,00;333,67
16:09:35.212;191,00;312,27
16:09:35.262;191,00;294,08
16:09:35.312;185,00;277,72
16:09:35.362;178,00;262,76
16:09:35.412;175,00;249,60
16:09:35.463;172,00;237,96
16:09:35.513;170,00;227,76
16:09:35.563;166,00;218,50
16:09:35.613;166,00;210,62
16:09:35.663;163,00;203,48
16:09:35.713;159,00;196,81
16:09:35.764;157,00;190,84
16:09:35.814;155,00;185,46
16:09:35.864;155,00;180,89
16:09:35.914;154,00;176,86
16:09:35.965;153,00;173,28
16:09:36.015;153,00;170,24
16:09:36.065;157,00;168,25
16:09:36.115;160,00;167,01
16:09:36.166;162,00;166,26
16:09:36.216;162,00;165,62
16:09:36.266;161,00;164,93
16:09:36.316;162,00;164,49
16:09:36.367;161,00;163,97
16:09:36.417;161,00;163,52
16:09:36.467;164,00;163,59
16:09:36.517;164,00;163,65
16:09:36.568;164,00;163,71
16:09:36.618;164,00;163,75
16:09:36.668;159,00;163,04
16:09:36.718;158,00;162,28
16:09:36.769;158,00;161,64
16:09:36.819;159,00;161,24
16:09:36.869;159,00;160,91
16:09:36.919;159,00;160,62
16:09:36.969;159,00;160,38
16:09:37.020;159,00;160,17
16:09:37.070;161,00;160,30
16:09:37.120;163,00;160,70
16:09:37.170;163,00;161,05
16:09:37.221;164,00;161,49
16:09:37.271;169,00;162,62
16:09:37.321;175,00;164,47
16:09:37.371;178,00;166,50
16:09:37.421;180,00;168,53
16:09:37.472;180,00;170,25
16:09:37.522;183,00;172,16
16:09:37.572;186,00;174,24
16:09:37.622;192,00;176,90
16:09:37.672;192,00;179,17
16:09:37.723;186,00;180,19
16:09:37.773;182,00;180,46
16:09:37.823;182,00;180,69
16:09:37.873;180,00;180,59
